date,numerator,denominator,notes
2018-04-20,5,7,
2018-04-27,2,7,
2018-05-04,3,7,
2018-05-11,2,7,
2018-05-17,2,7,
2018-05-25,3,7,
2018-06-01,5,7,
2018-06-08,3,7,
2018-06-15,2,7,
2018-06-22,2,7,
2018-06-29,1,7,
2018-07-06,5,7,
2018-07-13,3,7,
2018-07-20,2,7,
2018-08-02,5,7,
2018-08-03,5,7,
2018-08-10,4,7,
2018-08-17,1,7,
2018-08-24,6,7,
2018-08-31,3,7,
2018-09-07,3,7,
2018-09-14,3,7,
2018-09-21,2,7,
2018-09-28,5,7,
2018-10-05,4,7,
2018-10-12,2,7,
2018-10-19,3,7,
2018-10-26,2,7,
2018-11-02,3,7,
2018-11-09,4,7,
2018-11-16,1,7,
2018-11-23,4,7,
2018-11-30,2,7,
2018-12-07,3,7,
2018-12-14,3,7,
2018-12-21,5,13,
2018-12-22,5,13,
2019-01-04,10,13,
2019-01-04,4,13,
2019-01-04,2,7,
2019-01-11,4,7,
2019-01-18,1,7,
2019-01-25,4,7,
2019-02-01,3,7,
2019-02-08,2,7,
2019-02-15,0,7,
2019-02-22,3,7,
2019-03-01,2,7,
2019-03-08,7,7,
2019-03-15,4,7,
2019-03-22,4,7,
2019-03-29,3,7,
2019-04-05,2,7,
2019-04-12,2,7,
2019-04-19,2,7,
2019-04-26,2,7,
2019-05-03,4,7,
2019-05-10,3,7,
2019-05-17,3,7,
2019-05-24,2,7,
2019-05-31,3,7,
2019-06-07,2,7,
2019-06-14,3,7,
2019-06-21,3,7,
2019-06-28,4,7,
2019-07-05,2,7,
2019-07-12,1,7,
2019-07-19,3,7,
2019-07-26,3,7,
2019-08-02,2,7,
2019-08-09,3,7,
2019-08-16,1,7,
2019-08-23,5,7,
2019-08-30,3,7,
2019-09-06,2,7,
2019-09-13,5,7,
2019-09-20,1,7,
2019-09-27,4,7,
2019-10-04,1,7,
2019-10-11,1,7,
2019-10-18,3,7,
2019-10-25,4,7,
2019-11-01,4,7,
2019-11-08,5,7,
2019-11-15,3,7,
2019-11-22,4,7,
2019-11-29,2,7,
2019-12-06,4,7,
2019-12-13,2,7,
2019-12-20,5,13,
2019-12-21,8,13,
2019-12-22,6,13,
2019-12-23,6,13,
2019-12-30,6,10,
2020-01-03,4,7,
2020-01-10,2,7,
2020-01-17,3,7,
2020-01-24,4,7,
2020-01-31,2,7,
2020-02-07,3,7,
2020-02-14,2,7,
2020-02-21,4,7,
2020-02-28,3,7,
2020-03-06,2,7,
2020-03-13,3,7,
2020-03-20,3,7,
2020-03-27,3,7,
2020-04-03,3,7,
2020-04-10,6,7,
2020-04-17,2,7,
2020-04-24,3,7,
2020-05-01,3,7,
2020-05-08,2,7,
2020-05-15,3,7,
2020-05-22,1,7,
2020-05-29,0,7,
2020-06-05,3,7,
2020-06-12,6,7,
2020-06-19,3,7,
2020-06-26,3,7,
2020-07-03,4,7,
2020-07-10,3,7,
2020-07-17,3,7,
2020-07-24,3,7,
